category,product_id,product_title,product_url,seller_name,price_value,price_currency,price_raw,source
Graphics Cards,12569400,ASRock Intel Arc A770 Phantom Gaming OC HDMI 3xDP 16GB,https://www.prisjakt.nu/produkt.php?p=12569400,Proshop,4061.0,SEK,4 061 kr,html
Graphics Cards,12569400,ASRock Intel Arc A770 Phantom Gaming OC HDMI 3xDP 16GB,https://www.prisjakt.nu/produkt.php?p=12569400,Fcomputer,4288.0,SEK,4 288 kr,html
Motherboards,5704636,Asus Prime H510M-A,https://www.prisjakt.nu/produkt.php?p=5704636,Buyersclub,949.0,SEK,(949 kr) 796 kr,html
Motherboards,5704636,Asus Prime H510M-A,https://www.prisjakt.nu/produkt.php?p=5704636,Amazon.se,855.0,SEK,855 kr,html
Motherboards,5704636,Asus Prime H510M-A,https://www.prisjakt.nu/produkt.php?p=5704636,ComputerSalg,882.0,SEK,882 kr,html
Motherboards,5704636,Asus Prime H510M-A,https://www.prisjakt.nu/produkt.php?p=5704636,elektronikspecialisten.se,882.0,SEK,882 kr,html
Motherboards,5704636,Asus Prime H510M-A,https://www.prisjakt.nu/produkt.php?p=5704636,Proshop,899.0,SEK,899 kr,html
Graphics Cards,13305222,Gigabyte GeForce RTX 4060 EAGLE OC ICE 2xHDMI 2xDP 8GB,https://www.prisjakt.nu/produkt.php?p=13305222,,4756.0,SEK,4 756 kr,html
Graphics Cards,13305222,Gigabyte GeForce RTX 4060 EAGLE OC ICE 2xHDMI 2xDP 8GB,https://www.prisjakt.nu/produkt.php?p=13305222,,4756.0,SEK,4 756 kr,html
Graphics Cards,11995694,Sapphire Radeon RX 7700 XT Nitro+ 2xHDMI 2xDP 12GB,https://www.prisjakt.nu/produkt.php?p=11995694,Amazon.se,5316.0,SEK,5 316 kr,html
Graphics Cards,11995694,Sapphire Radeon RX 7700 XT Nitro+ 2xHDMI 2xDP 12GB,https://www.prisjakt.nu/produkt.php?p=11995694,ComputerSalg,5316.0,SEK,5 316 kr,html
Graphics Cards,11995694,Sapphire Radeon RX 7700 XT Nitro+ 2xHDMI 2xDP 12GB,https://www.prisjakt.nu/produkt.php?p=11995694,Proshop,5316.0,SEK,5 316 kr,html
Graphics Cards,11995694,Sapphire Radeon RX 7700 XT Nitro+ 2xHDMI 2xDP 12GB,https://www.prisjakt.nu/produkt.php?p=11995694,Dustin Home,5522.0,SEK,5 522 kr,html
Graphics Cards,11995694,Sapphire Radeon RX 7700 XT Nitro+ 2xHDMI 2xDP 12GB,https://www.prisjakt.nu/produkt.php?p=11995694,Fcomputer,5802.0,SEK,5 802 kr,html
Motherboards,5830651,Gigabyte H410M H V2,https://www.prisjakt.nu/produkt.php?p=5830651,Amazon.se,617.0,SEK,617 kr,html
Motherboards,5830651,Gigabyte H410M H V2,https://www.prisjakt.nu/produkt.php?p=5830651,ComputerSalg,653.0,SEK,653 kr,html
Motherboards,5830651,Gigabyte H410M H V2,https://www.prisjakt.nu/produkt.php?p=5830651,Proshop,658.0,SEK,658 kr,html
Motherboards,5830651,Gigabyte H410M H V2,https://www.prisjakt.nu/produkt.php?p=5830651,Senetic,666.0,SEK,666 kr,html
Motherboards,5830651,Gigabyte H410M H V2,https://www.prisjakt.nu/produkt.php?p=5830651,CDON,721.0,SEK,721 kr 712 kr,html
Motherboards,5830674,ASRock B550 PG Riptide,https://www.prisjakt.nu/produkt.php?p=5830674,Buyersclub,1599.0,SEK,(1 599 kr) 1 221 kr,html
Motherboards,5830674,ASRock B550 PG Riptide,https://www.prisjakt.nu/produkt.php?p=5830674,ComputerSalg,1362.0,SEK,1 362 kr,html
Motherboards,5830674,ASRock B550 PG Riptide,https://www.prisjakt.nu/produkt.php?p=5830674,Proshop,1362.0,SEK,1 362 kr,html
Motherboards,5830674,ASRock B550 PG Riptide,https://www.prisjakt.nu/produkt.php?p=5830674,Buyn,1375.0,SEK,1 375 kr,html
Motherboards,5830674,ASRock B550 PG Riptide,https://www.prisjakt.nu/produkt.php?p=5830674,Fcomputer,1620.0,SEK,1 620 kr,html
Graphics Cards,11106805,ASRock Radeon RX 7600 Phantom Gaming OC HDMI 3xDP 8GB,https://www.prisjakt.nu/produkt.php?p=11106805,Amazon.se,3363.0,SEK,3 363 kr,html
Graphics Cards,11106805,ASRock Radeon RX 7600 Phantom Gaming OC HDMI 3xDP 8GB,https://www.prisjakt.nu/produkt.php?p=11106805,Proshop,3480.0,SEK,3 480 kr,html
Graphics Cards,11106805,ASRock Radeon RX 7600 Phantom Gaming OC HDMI 3xDP 8GB,https://www.prisjakt.nu/produkt.php?p=11106805,ComputerSalg,4288.0,SEK,4 288 kr,html
Motherboards,5955858,Gigabyte H610M S2H DDR4,https://www.prisjakt.nu/produkt.php?p=5955858,Amazon.se,762.0,SEK,762 kr,html
Motherboards,5955858,Gigabyte H610M S2H DDR4,https://www.prisjakt.nu/produkt.php?p=5955858,Proshop,813.0,SEK,813 kr,html
Motherboards,5955858,Gigabyte H610M S2H DDR4,https://www.prisjakt.nu/produkt.php?p=5955858,ComputerSalg,829.0,SEK,829 kr,html
Graphics Cards,11995697,Sapphire Radeon RX 7700 XT Pure 2xHDMI 2xDP 12GB,https://www.prisjakt.nu/produkt.php?p=11995697,Proshop,6209.0,SEK,6 209 kr,html
Graphics Cards,11995697,Sapphire Radeon RX 7700 XT Pure 2xHDMI 2xDP 12GB,https://www.prisjakt.nu/produkt.php?p=11995697,Alina,6209.0,SEK,6 209 kr,html
Graphics Cards,12917825,MSI GeForce GTX 1650 D6 Ventus XS OCV3 HDMI DP 4GB,https://www.prisjakt.nu/produkt.php?p=12917825,Amazon.se,2907.0,SEK,2 907 kr,html
Graphics Cards,12917825,MSI GeForce GTX 1650 D6 Ventus XS OCV3 HDMI DP 4GB,https://www.prisjakt.nu/produkt.php?p=12917825,CDON,2907.0,SEK,2 907 kr,html
Graphics Cards,10755953,PNY nVidia Quadro RTX 4000 4xDP 20GB,https://www.prisjakt.nu/produkt.php?p=10755953,ComputerSalg,15215.0,SEK,15 215 kr,html
Graphics Cards,10755953,PNY nVidia Quadro RTX 4000 4xDP 20GB,https://www.prisjakt.nu/produkt.php?p=10755953,Proshop,15215.0,SEK,15 215 kr,html
Graphics Cards,10755953,PNY nVidia Quadro RTX 4000 4xDP 20GB,https://www.prisjakt.nu/produkt.php?p=10755953,CDON,15215.0,SEK,15 215 kr,html
Graphics Cards,10755953,PNY nVidia Quadro RTX 4000 4xDP 20GB,https://www.prisjakt.nu/produkt.php?p=10755953,Amazon.se,15277.0,SEK,15 277 kr,html
Graphics Cards,10755953,PNY nVidia Quadro RTX 4000 4xDP 20GB,https://www.prisjakt.nu/produkt.php?p=10755953,Buyersclub,18699.0,SEK,(18 699 kr) 15 969 kr,html
Graphics Cards,11316842,Asus Radeon RX 7600 Dual V2 OC HDMI 3xDP 8GB,https://www.prisjakt.nu/produkt.php?p=11316842,Webhallen,3499.0,SEK,3 499 kr,html
Motherboards,5696055,Asus ROG Strix Z590-F Gaming WiFi,https://www.prisjakt.nu/produkt.php?p=5696055,,3352.0,SEK,3352,jsonld
Graphics Cards,11920153,Asus Radeon RX 7700 XT TUF Gaming OC Edition HDMI 3xDP 12GB,https://www.prisjakt.nu/produkt.php?p=11920153,Inet,6999.0,SEK,6 999 kr,html
Motherboards,4458631,Supermicro X11DPL-i,https://www.prisjakt.nu/produkt.php?p=4458631,ComputerSalg,675.0,SEK,675 kr,html
Motherboards,5748737,Asus Pro Q570M-C/CSM,https://www.prisjakt.nu/produkt.php?p=5748737,Buyersclub,1119.0,SEK,(1 119 kr) 939 kr,html
Motherboards,5748737,Asus Pro Q570M-C/CSM,https://www.prisjakt.nu/produkt.php?p=5748737,Buyn,1063.0,SEK,1 063 kr,html
Motherboards,5748737,Asus Pro Q570M-C/CSM,https://www.prisjakt.nu/produkt.php?p=5748737,Senetic,1100.0,SEK,1 100 kr,html
Motherboards,5748737,Asus Pro Q570M-C/CSM,https://www.prisjakt.nu/produkt.php?p=5748737,ComputerSalg,1116.0,SEK,1 116 kr,html
